 Method -> GET, Time -> 1780845941299, Time -> / 

 Method -> GET, Time -> 1780845945266, Time -> /products 

 Method -> GET, Time -> 1780845948381, Time -> /users 

 Method -> GET, Time -> 1780845962792, Time -> / 

 Method -> GET, Time -> 1780845973711, Time -> /api/users 

 Method -> GET, Time -> 1780845986007, Time -> /api/products 

 Method -> GET, Time -> 1780845997520, Time -> /api/product 

 Method -> GET, Time -> 1780846013704, Time -> /api/profiles 

 Method -> GET, Time -> 1780846017471, Time -> /api/profiles 

 Method -> GET, Time -> 1780846020337, Time -> /api/profile 

 Method -> GET, Time -> 1780846023801, Time -> /api/profile 

 Method -> GET, Time -> 1780847226551, Time -> / 

 Method -> GET, Time -> 1780847231852, Time -> /api/users 

 Method -> POST, Time -> 1780847262044, Time -> /api/auth/login 

 Method -> GET, Time -> 1780847295871, Time -> /api/users 

 Method -> GET, Time -> 1780847331823, Time -> /api/users 

 Method -> GET, Time -> 1780847352937, Time -> /api/users 

 Method -> GET, Time -> 1780850524741, Time -> /api/users 

 Method -> GET, Time -> 1780851055267, Time -> /api/users 

 Method -> GET, Time -> 1780851088045, Time -> /api/users 

 Method -> GET, Time -> 1780851448555, Time -> /api/users 

 Method -> POST, Time -> 1780851715658, Time -> /api/auth/login 

 Method -> GET, Time -> 1780851743421, Time -> /api/users 

 Method -> POST, Time -> 1780932745643, Time -> /api/users 

 Method -> POST, Time -> 1780933002200, Time -> /api/users 

 Method -> POST, Time -> 1780933048020, Time -> /api/users 

 Method -> POST, Time -> 1780933347943, Time -> /api/users 

 Method -> POST, Time -> 1780933866148, Time -> /api/users 

 Method -> POST, Time -> 1780934110195, Time -> /api/users 

 Method -> POST, Time -> 1780934146779, Time -> /api/users 

 Method -> POST, Time -> 1780934198653, Time -> /api/auth/login 

 Method -> GET, Time -> 1780934240315, Time -> /api/users 

 Method -> GET, Time -> 1780934335025, Time -> /api/users 

 Method -> POST, Time -> 1780934558615, Time -> /api/auth/login 

 Method -> GET, Time -> 1780934582682, Time -> /api/users 

 Method -> GET, Time -> 1780934732133, Time -> /api/users 

 Method -> POST, Time -> 1780935275745, Time -> /api/auth/login 

 Method -> GET, Time -> 1780935298275, Time -> /api/users 

 Method -> GET, Time -> 1780935359697, Time -> /api/users 

 Method -> GET, Time -> 1780935683478, Time -> /api/users 

 Method -> GET, Time -> 1780935967162, Time -> /api/users 

 Method -> GET, Time -> 1780935995256, Time -> /api/users 

 Method -> GET, Time -> 1780937414835, Time -> /api/users 

 Method -> POST, Time -> 1780937426612, Time -> /api/auth/login 
